video           q    psnr	    speed	disp	 comment
source.avi           38.607-0	5.373	0.322	 without v, (-8, 8, 2), (-4, 4, 1), (-3, 3, 1), block_size = 2!!!
waterfall.avi        35.532-5	5.924	0.126	 without v, (-8, 8, 2), (-4, 4, 1), (-3, 3, 1), block_size = 2!!!
source.avi           38.607-0	5.277	0.429	 without v, (-8, 8, 2), (-4, 4, 1), (-3, 3, 1), block_size = 2!!!
waterfall.avi        35.532-5	5.835	0.711	 without v, (-8, 8, 2), (-4, 4, 1), (-3, 3, 1), block_size = 2!!!
source.avi           41.487-4	13.34	0.836	 without v, (-8, 8, 2), (-4, 4, 1), (-3, 3, 1), block_size = 1!!!
waterfall.avi        41.095-3	12.12	0.110	 without v, (-8, 8, 2), (-4, 4, 1), (-3, 3, 1), block_size = 1!!!
source.avi           38.607-0	5.228	0.292	 without v, (-8, 8, 2), (-4, 4, 1), (-3, 3, 1), block_size = 2, recover
waterfall.avi        35.532-5	5.990	0.631	 without v, (-8, 8, 2), (-4, 4, 1), (-3, 3, 1), block_size = 2, recover
source.avi           37.342-2	3.131	0.032	 (-8, 8, 2), (-2, 2, 1), (-2, 2, 1)
waterfall.avi        34.931-8	4.031	0.013	 (-8, 8, 2), (-2, 2, 1), (-2, 2, 1)
source.avi           37.335-2	3.718	0.383	 (-8, 8, 2), (-2, 2, 1), (-2, 2, 1), cur + prev / 2
waterfall.avi        35.019-7	4.570	0.020	 (-8, 8, 2), (-2, 2, 1), (-2, 2, 1), cur + prev / 2
source.avi           35.747-3	3.292	0.061	 (-8, 8, 2), (-2, 2, 1), (-2, 2, 1), prev <-
waterfall.avi        35.535-6	3.654	0.022	 (-8, 8, 2), (-2, 2, 1), (-2, 2, 1), prev <-
source.avi           34.847-8	3.301	0.029	 (-8, 8, 2), (-1, 1, 2), (-1, 1, 2), prev
waterfall.avi        31.295-0	3.852	0.142	 (-8, 8, 2), (-1, 1, 2), (-1, 1, 2), prev
source.avi           35.719-3	3.553	0.142	 (-8, 8, 2), (-1, 1, 1), (-1, 1, 1), prev
waterfall.avi        33.316-1	4.186	0.187	 (-8, 8, 2), (-1, 1, 1), (-1, 1, 1), prev
source.avi           37.342-2	3.908	0.112	 (-8, 8, 2), (-2, 2, 1), (-2, 2, 1), prev
waterfall.avi        34.931-8	4.757	0.199	 (-8, 8, 2), (-2, 2, 1), (-2, 2, 1), prev
source.avi           37.767-6	4.416	0.025	 (-8, 8, 2), (-2, 2, 1), (-2, 2, 1), prev, without for in 1-st loop
waterfall.avi        34.851-4	4.789	0.078	 (-8, 8, 2), (-2, 2, 1), (-2, 2, 1), prev, without for in 1-st loop
source.avi           37.342-2	4.634	0.263	 recover
waterfall.avi        34.931-8	5.165	0.629	 recover
source.avi           37.342-2	2.618	0.076	 recover 2
waterfall.avi        34.931-8	3.336	0.292	 recover 2
source.avi           37.342-2	2.270	0.007	 
waterfall.avi        34.931-8	3.047	0.123	 
source.avi           36.729-3	2.555	0.081	 averaging in 4 times, not in 2 as before
waterfall.avi        34.801-9	3.103	0.260	 averaging in 4 times, not in 2 as before
source.avi           36.729-3	2.201	0.169	 averaging in 4 times, not in 2 as before, test
source.avi           36.729-3	2.167	0.164	 averaging in 4 times, not in 2 as before, test 3
source.avi           36.729-3	2.558	0.028	 averaging in 4 times, not in 2 as before, bit realization
source.avi           36.729-3	2.187	0.003	 averaging in 4 times, not in 2 as before, bit realization, test 2
