psnr            speed   disp    comment
32.12088        1.462   0.011   '9 checks bias = 1'
31.24901        0.671   0.018   '5 X checks bias = 1'
34.48176        4.955   0.084   'version in fall.cv 9X:8 9X:4'
30.44037        0.592   0.008   '5 checks +search bias=1'
31.24901        0.702   0.002   '5 checks Xsearch bias=1'
31.35648        1.405   0.063   '5 checks +search bias=2'
32.69395        1.514   0.124   'X checks bias = 4'
31.71263        2.677   0.008   '8 checks bias = 4'
34.21560        4.335   0.090   '9 checks bias = 4 but check center'
34.21560        3.881   0.036   '9 checks bias = 4 but check center again'
31.71263        2.646   0.133   '8 checks bias = 4 again'
31.71263        2.646   0.133   'orthogonal serach'
31.71263        2.646   0.133   'orthogonal serach'
34.21560        4.712   0.022   'orthogonal serach'
34.21560        4.712   0.022   'orthogonal serach 1'
34.21560        4.712   0.022   'orthogonal serach bias = 2'
31.74725        0.902   0.039   'orthogonal serach bias = 2'
32.45090        1.241   0.003   'orthogonal serach bias = 4'
32.50251        1.619   0.006   'orthogonal serach bias = 8'
32.59349        2.391   0.009   'orthogonal serach bias = 4 3 2 1'
32.59349        1.917   0.039   'orthogonal serach bias = 4 3 2 1'
32.97358        1.514   0.018   'orthogonal serach bias = 1 1 1 1'
32.42017        2.297   0.027   'orthogonal serach bias = 2 1 2 1'
33.06948        1.523   0.031   'orthogonal serach bias = 2 1 1 1'
33.06948        1.519   0.012   'orthogonal serach bias = 2 1 1 1'
33.21082        1.555   0.011   'orthogonal serach bias = 2 2 1 1'
32.58003        1.526   0.090   'orthogonal serach bias = 2 2 2 1'
33.43558        1.867   0.013   'orthogonal serach bias = 2 2 1 1 1'
33.31350        2.830   0.020   'orthogonal serach bias = 2 2 2 1 1'
33.53190        4.132   0.063   'orthogonal serach bias = 2 2 1 1 init = -2 2'
33.55943        4.129   0.135   'orthogonal serach bias = 2 2 1 1 init = -2 2 check'
33.50686        3.901   0.158   'orthogonal serach bias = 2 2 1 1 init = -1 1 check'
33.46386        4.411   0.643   'orthogonal serach bias = 2 2 1 1 init = -1 1 check'
32.85829        2.218   0.029   'is everything allright?'
33.43558        1.809   0.073   'is everything allright?'
33.26603        1.791   0.063   'ortho 2 1 1 1 1'
33.33979        1.796   0.067   'ortho 4 2 1 1 1'
